([99.34, 4.433], [1, 'minkowski', 'majority', 'uniform'])
([99.41, 5.613], [1, 'minkowski', 'majority', 'mutual_info_score'])
([95.97, 7.228], [1, 'minkowski', 'majority', 'ridge'])
([99.36, 4.632], [1, 'cosine', 'majority', 'uniform'])
([99.43, 5.756], [1, 'cosine', 'majority', 'mutual_info_score'])
([95.36, 7.424], [1, 'cosine', 'majority', 'ridge'])
([96.86, 8.634], [1, 'clark', 'majority', 'uniform'])
([96.86, 9.264], [1, 'clark', 'majority', 'mutual_info_score'])
([92.99, 14.313], [1, 'clark', 'majority', 'ridge'])
([99.34, 7.028], [1, 'minkowski', 'inverse_distance', 'uniform'])
([99.41, 6.844], [1, 'minkowski', 'inverse_distance', 'mutual_info_score'])
([95.97, 8.081], [1, 'minkowski', 'inverse_distance', 'ridge'])
([99.36, 5.462], [1, 'cosine', 'inverse_distance', 'uniform'])
([99.43, 6.238], [1, 'cosine', 'inverse_distance', 'mutual_info_score'])
([95.36, 7.72], [1, 'cosine', 'inverse_distance', 'ridge'])
([96.86, 7.656], [1, 'clark', 'inverse_distance', 'uniform'])
([96.86, 8.373], [1, 'clark', 'inverse_distance', 'mutual_info_score'])
([92.99, 11.983], [1, 'clark', 'inverse_distance', 'ridge'])
([99.34, 5.159], [1, 'minkowski', 'sheppard', 'uniform'])
([99.41, 5.743], [1, 'minkowski', 'sheppard', 'mutual_info_score'])
([95.97, 7.567], [1, 'minkowski', 'sheppard', 'ridge'])
([99.36, 5.24], [1, 'cosine', 'sheppard', 'uniform'])
([99.43, 6.087], [1, 'cosine', 'sheppard', 'mutual_info_score'])
([95.36, 7.489], [1, 'cosine', 'sheppard', 'ridge'])
([96.86, 7.605], [1, 'clark', 'sheppard', 'uniform'])
([96.86, 8.806], [1, 'clark', 'sheppard', 'mutual_info_score'])
([92.99, 10.764], [1, 'clark', 'sheppard', 'ridge'])
([99.37, 4.634], [3, 'minkowski', 'majority', 'uniform'])
([99.34, 5.162], [3, 'minkowski', 'majority', 'mutual_info_score'])
([96.38, 6.653], [3, 'minkowski', 'majority', 'ridge'])
([99.4, 4.643], [3, 'cosine', 'majority', 'uniform'])
([99.36, 5.188], [3, 'cosine', 'majority', 'mutual_info_score'])
([96.02, 6.326], [3, 'cosine', 'majority', 'ridge'])
([96.62, 6.73], [3, 'clark', 'majority', 'uniform'])
([96.62, 7.94], [3, 'clark', 'majority', 'mutual_info_score'])
([92.99, 10.209], [3, 'clark', 'majority', 'ridge'])
([99.29, 5.211], [3, 'minkowski', 'inverse_distance', 'uniform'])
([99.22, 6.178], [3, 'minkowski', 'inverse_distance', 'mutual_info_score'])
([95.01, 7.821], [3, 'minkowski', 'inverse_distance', 'ridge'])
([99.25, 5.543], [3, 'cosine', 'inverse_distance', 'uniform'])
([99.26, 6.557], [3, 'cosine', 'inverse_distance', 'mutual_info_score'])
([94.47, 8.452], [3, 'cosine', 'inverse_distance', 'ridge'])
([95.43, 8.018], [3, 'clark', 'inverse_distance', 'uniform'])
([95.43, 9.73], [3, 'clark', 'inverse_distance', 'mutual_info_score'])
([91.36, 11.583], [3, 'clark', 'inverse_distance', 'ridge'])
([99.29, 4.885], [3, 'minkowski', 'sheppard', 'uniform'])
([99.22, 6.13], [3, 'minkowski', 'sheppard', 'mutual_info_score'])
([95.01, 6.843], [3, 'minkowski', 'sheppard', 'ridge'])
([99.25, 5.298], [3, 'cosine', 'sheppard', 'uniform'])
([99.26, 6.606], [3, 'cosine', 'sheppard', 'mutual_info_score'])
([94.47, 7.541], [3, 'cosine', 'sheppard', 'ridge'])
([95.43, 7.637], [3, 'clark', 'sheppard', 'uniform'])
([95.43, 9.078], [3, 'clark', 'sheppard', 'mutual_info_score'])
([91.36, 11.529], [3, 'clark', 'sheppard', 'ridge'])
([99.26, 4.412], [5, 'minkowski', 'majority', 'uniform'])
([99.31, 6.041], [5, 'minkowski', 'majority', 'mutual_info_score'])
([96.34, 6.691], [5, 'minkowski', 'majority', 'ridge'])
([99.25, 4.655], [5, 'cosine', 'majority', 'uniform'])
([99.34, 5.454], [5, 'cosine', 'majority', 'mutual_info_score'])
([95.79, 6.665], [5, 'cosine', 'majority', 'ridge'])
([96.26, 7.313], [5, 'clark', 'majority', 'uniform'])
([96.26, 8.308], [5, 'clark', 'majority', 'mutual_info_score'])
([92.62, 11.265], [5, 'clark', 'majority', 'ridge'])
([98.92, 5.235], [5, 'minkowski', 'inverse_distance', 'uniform'])
([98.77, 6.324], [5, 'minkowski', 'inverse_distance', 'mutual_info_score'])
([93.8, 7.921], [5, 'minkowski', 'inverse_distance', 'ridge'])
([98.95, 5.131], [5, 'cosine', 'inverse_distance', 'uniform'])
