([30.2, 0.069], [1, 'minkowski', 'majority', 'uniform'])
([86.26, 0.291], [1, 'minkowski', 'majority', 'mutual_info_score'])
([88.08, 0.444], [1, 'minkowski', 'majority', 'ridge'])
([22.73, 0.127], [1, 'cosine', 'majority', 'uniform'])
([86.97, 0.251], [1, 'cosine', 'majority', 'mutual_info_score'])
([83.23, 0.451], [1, 'cosine', 'majority', 'ridge'])
([37.58, 0.093], [1, 'clark', 'majority', 'uniform'])
([82.63, 0.354], [1, 'clark', 'majority', 'mutual_info_score'])
([80.61, 0.45], [1, 'clark', 'majority', 'ridge'])
([30.2, 0.134], [1, 'minkowski', 'inverse_distance', 'uniform'])
([86.26, 0.318], [1, 'minkowski', 'inverse_distance', 'mutual_info_score'])
([88.08, 0.461], [1, 'minkowski', 'inverse_distance', 'ridge'])
([22.73, 0.138], [1, 'cosine', 'inverse_distance', 'uniform'])
([86.97, 0.356], [1, 'cosine', 'inverse_distance', 'mutual_info_score'])
([83.23, 0.68], [1, 'cosine', 'inverse_distance', 'ridge'])
([37.58, 0.157], [1, 'clark', 'inverse_distance', 'uniform'])
([82.63, 0.321], [1, 'clark', 'inverse_distance', 'mutual_info_score'])
([80.61, 0.573], [1, 'clark', 'inverse_distance', 'ridge'])
([30.2, 0.168], [1, 'minkowski', 'sheppard', 'uniform'])
([86.26, 0.338], [1, 'minkowski', 'sheppard', 'mutual_info_score'])
([88.08, 0.563], [1, 'minkowski', 'sheppard', 'ridge'])
([22.73, 0.152], [1, 'cosine', 'sheppard', 'uniform'])
([86.97, 0.3], [1, 'cosine', 'sheppard', 'mutual_info_score'])
([83.23, 0.598], [1, 'cosine', 'sheppard', 'ridge'])
([37.58, 0.195], [1, 'clark', 'sheppard', 'uniform'])
([82.63, 0.339], [1, 'clark', 'sheppard', 'mutual_info_score'])
([80.61, 0.498], [1, 'clark', 'sheppard', 'ridge'])
([29.9, 0.088], [3, 'minkowski', 'majority', 'uniform'])
([67.27, 0.538], [3, 'minkowski', 'majority', 'mutual_info_score'])
([86.87, 0.44], [3, 'minkowski', 'majority', 'ridge'])
([22.32, 0.078], [3, 'cosine', 'majority', 'uniform'])
([69.39, 0.245], [3, 'cosine', 'majority', 'mutual_info_score'])
([81.82, 0.447], [3, 'cosine', 'majority', 'ridge'])
([34.24, 0.086], [3, 'clark', 'majority', 'uniform'])
([66.57, 0.424], [3, 'clark', 'majority', 'mutual_info_score'])
([79.29, 0.485], [3, 'clark', 'majority', 'ridge'])
([28.48, 0.163], [3, 'minkowski', 'inverse_distance', 'uniform'])
([65.05, 0.416], [3, 'minkowski', 'inverse_distance', 'mutual_info_score'])
([80.81, 0.525], [3, 'minkowski', 'inverse_distance', 'ridge'])
([21.62, 0.165], [3, 'cosine', 'inverse_distance', 'uniform'])
([65.86, 0.349], [3, 'cosine', 'inverse_distance', 'mutual_info_score'])
([75.96, 0.629], [3, 'cosine', 'inverse_distance', 'ridge'])
([37.37, 0.155], [3, 'clark', 'inverse_distance', 'uniform'])
([61.82, 0.438], [3, 'clark', 'inverse_distance', 'mutual_info_score'])
([71.72, 0.546], [3, 'clark', 'inverse_distance', 'ridge'])
([28.48, 0.193], [3, 'minkowski', 'sheppard', 'uniform'])
([65.05, 0.356], [3, 'minkowski', 'sheppard', 'mutual_info_score'])
([80.81, 0.528], [3, 'minkowski', 'sheppard', 'ridge'])
([21.62, 0.184], [3, 'cosine', 'sheppard', 'uniform'])
